commit	date	score	f1	precision	recall	band_acc	period_err_pct	mean_iou	decoy_rejection	f1@0.5	tier1_recall	tier2_recall	tier3_recall	tier4_recall	loc	runtime_sec	status	notes
2c24d3c	2026-04-13	0.2628	0.2523	0.1462	0.9203	0.6970	24.39	0.6436	0.0882	0.2409	1.0000	1.0000	0.8605	0.8889	10629	15.4	keep	initial baseline
0bd1e21	2026-04-13	0.3514	0.5814	0.4170	0.9602	0.9544	5.86	0.8570	0.0882	0.5803	0.7778	1.0000	1.0000	1.0000	10655	15.0	keep	sigma mask n=3 + NaN interp + power-weighted dedup
b2d96f3	2026-04-13	0.7473	0.6354	0.5023	0.8645	0.9493	6.00	0.8605	0.6176	0.5469	0.7778	0.8333	0.9070	0.8889	10679	15.1	keep	transverse ratio filter + min 3 oscillations
029a5b9	2026-04-13	0.7992	0.7633	0.7075	0.8287	0.9519	5.85	0.8310	0.6176	0.6084	0.7778	0.6667	0.8953	0.8889	10674	12.5	keep	coincidence mask + n_sigma=4 + relaxed transverse ratio 0.5
d08e799	2026-04-13	0.7622	0.6739	0.5522	0.8645	0.9539	5.79	0.8291	0.6176	0.5838	0.7778	0.8333	0.9070	0.8889	10688	16.0	keep	two-pass: coincidence n=3.5 + single-component n=5
d08e799	2026-04-13	0.8145	0.7969	0.7816	0.8127	0.9559	5.90	0.8475	0.6176	0.6192	0.7778	0.6667	0.8488	0.8889	10689	12.8	keep	n_sigma=3 coincidence + min_pixels=80 + cross-band dedup
8f14b2b	2026-04-13	0.7928	0.7397	0.6486	0.8606	0.9537	5.80	0.8501	0.6176	0.6039	0.7778	0.8333	0.8953	0.8889	10719	15.3	keep	OR fallback n=5 for linear pol + 3-band-only cross-band dedup
8f14b2b	2026-04-13	0.8145	0.7969	0.7816	0.8127	0.9559	5.90	0.8475	0.6176	0.6192	0.7778	0.6667	0.8488	0.8889	10689	12.6	discard	REVERTED: OR fallback + 3-band dedup regressed precision
3d67649	2026-04-13	0.8122	0.7742	0.7391	0.8127	0.9559	1.69	0.8594	0.6176	0.6012	0.7778	0.6667	0.8488	0.8889	10694	14.6	keep	freq_max=1e-3 for QP-focused CWT resolution
3d67649	2026-04-13	0.8152	0.7776	0.7119	0.8566	0.9721	2.10	0.8580	0.6176	0.6139	1.0000	0.6667	0.8605	0.8889	10758	14.3	keep	freq_max=1e-3 + split long ridges at power minima
340401b	2026-04-13	0.7809	0.6975	0.5809	0.8725	0.9589	1.76	0.8590	0.6176	0.5737	1.0000	0.6667	0.9070	0.8889	10743	14.3	keep	remove cross-band dedup to fix overlapping bands
340401b	2026-04-13	0.7848	0.7065	0.5935	0.8725	0.9589	1.76	0.8590	0.6176	0.5778	1.0000	0.6667	0.9070	0.8889	10771	14.3	keep	3-band broadband rejection + allow 2-band overlap
340401b	2026-04-13	0.8152	0.7776	0.7119	0.8566	0.9721	2.10	0.8580	0.6176	0.6139	1.0000	0.6667	0.8605	0.8889	10758	14.4	discard	REVERTED: 3-band dedup and no-dedup both regressed
340401b	2026-04-13	0.8211	0.7978	0.7465	0.8566	0.9674	1.86	0.8484	0.6176	0.6263	1.0000	0.6667	0.8605	0.8889	10758	14.4	keep	n_sigma=3.5 to reduce broadband burst FPs
9efcc40	2026-04-13	0.8211	0.7978	0.7465	0.8566	0.9674	1.86	0.8484	0.6176	0.6263	1.0000	0.6667	0.8605	0.8889	10758	14.1	keep	min_pixels=100 to cut small FP blobs
9efcc40	2026-04-13	0.8216	0.7993	0.7491	0.8566	0.9674	1.86	0.8484	0.6176	0.6268	1.0000	0.6667	0.8605	0.8889	10758	14.0	keep	3h same-band dedup window
63c62cf	2026-04-13	0.8781	0.8832	0.9455	0.8287	1.0000	1.46	0.8437	0.7059	0.6557	1.0000	0.6458	0.7907	0.8889	10783	14.0	keep	spectral concentration filter: reject if other bands have >50% power
357ea67	2026-04-13	0.8552	0.8811	0.9072	0.8566	1.0000	1.41	0.8473	0.6176	0.6745	1.0000	0.6667	0.8605	0.8889	10783	14.1	keep	relax spectral concentration to 80%
357ea67	2026-04-13	0.8781	0.8832	0.9455	0.8287	1.0000	1.46	0.8437	0.7059	0.6557	1.0000	0.6458	0.7907	0.8889	10783	14.2	discard	REVERTED: 80% spectral conc threshold too permissive
357ea67	2026-04-13	0.8781	0.8832	0.9455	0.8287	1.0000	1.46	0.8437	0.7059	0.6557	1.0000	0.6458	0.7907	0.8889	10784	14.7	keep	use dominant transverse component for ridge extraction
357ea67	2026-04-13	0.8781	0.8832	0.9455	0.8287	1.0000	1.46	0.8437	0.7059	0.6557	1.0000	0.6458	0.7907	0.8889	10768	13.9	keep	remove cross-band dedup (spectral conc filter handles it)
357ea67	2026-04-13	0.8398	0.8481	0.8398	0.8566	0.9721	1.74	0.8481	0.6176	0.6557	1.0000	0.6667	0.8605	0.8889	10787	14.0	keep	spectral conc: reject when 2+ other bands >30% (true broadband only)
357ea67	2026-04-13	0.8781	0.8832	0.9455	0.8287	1.0000	1.46	0.8437	0.7059	0.6557	1.0000	0.6458	0.7907	0.8889	10783	14.2	keep	min_duration_hours=1.5 for shorter events
357ea67	2026-04-13	0.8768	0.8778	0.9138	0.8446	1.0000	1.47	0.8471	0.7059	0.6542	1.0000	0.7292	0.7907	0.8889	10785	15.4	keep	asymmetric sigma: strong=3 & weak=1.5 OR
357ea67	2026-04-13	0.8754	0.8800	0.9330	0.8327	1.0000	1.46	0.8338	0.7059	0.6557	1.0000	0.6667	0.7907	0.8889	10785	15.2	keep	asymmetric sigma: strong=3.5 & weak=2.0 OR
357ea67	2026-04-13	0.8739	0.8615	0.9431	0.7928	1.0000	0.52	0.8587	0.7059	0.6508	0.9333	0.6458	0.7907	0.8056	10795	13.9	keep	autocorrelation filter: require autocorr>0.15 at peak period
357ea67	2026-04-13	0.8781	0.8832	0.9455	0.8287	1.0000	1.46	0.8437	0.7059	0.6557	1.0000	0.6458	0.7907	0.8889	10783	13.8	keep	min_oscillations=2.0 (relaxed with spectral filter safety net)
357ea67	2026-04-13	0.8797	0.8785	0.9450	0.8207	1.0000	1.21	0.8621	0.7059	0.6724	1.0000	0.6458	0.8372	0.8056	10781	13.8	keep	spectral conc over event window instead of peak time
eebb297	2026-04-13	0.8782	0.8785	0.9450	0.8207	1.0000	1.21	0.8528	0.7059	0.6724	1.0000	0.6458	0.8372	0.8056	10781	13.8	keep	n_sigma=4.0 to eliminate broadband burst FPs
64237da	2026-04-13	0.8797	0.8785	0.9450	0.8207	1.0000	1.21	0.8621	0.7059	0.6724	1.0000	0.6458	0.8372	0.8056	10781	13.8	keep	verify final state
4c70953	2026-04-13	0.8955	0.9290	0.9463	0.9124	1.0000	1.11	0.8534	0.7059	0.7357	1.0000	0.8125	0.9302	0.9028	10785	19.3	keep	CWT-based in-band transverse ratio (fixes ppo_background)
